county_name,race_description,cand_name,precinct_code,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110005,6,28,136,170
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110005,4,8,28,40
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110006,11,71,247,329
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110006,6,17,56,79
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110007,2,17,48,67
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110007,3,7,21,31
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110008,10,46,193,249
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110008,0,14,56,70
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110009,27,44,461,532
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110009,8,13,77,98
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110010,38,120,688,846
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110010,9,36,167,212
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110011,9,46,186,241
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110011,3,11,49,63
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110012,16,127,481,624
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110012,3,41,128,172
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110013,11,63,298,372
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110013,4,20,77,101
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110014,23,39,473,535
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110014,5,12,127,144
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110015,24,50,571,645
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110015,8,13,144,165
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110016,6,18,204,228
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110016,0,6,41,47
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110017,5,27,160,192
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110017,1,7,43,51
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110018,3,18,143,164
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,AGAINST THE PROPOSAL - NO,110018,5,5,29,39
CHEROKEE,STATE QUESTION NO. 794 LEGISLATIVE REFERENDUM NO. 371,FOR THE PROPOSAL - YES,110019,16,61,319,396
